DATE,CH,HH,KA,KU,PM,TU,TEMP,BANJIR
9/22/2024,182.20,26.00,1.60,75.00,4.70,923.40,25.60,0.00
10/22/2024,366.70,30.00,2.70,70.00,4.80,922.90,25.00,5.00
11/22/2024,307.20,28.00,2.70,72.00,3.30,922.50,25.00,1.00
12/22/2024,277.70,29.00,3.50,67.00,5.70,921.70,24.90,6.00
1/23/2024,67.00,10.00,2.00,78.00,49.00,923.40,24.00,2.00
2/23/2024,111.00,20.00,2.00,79.00,51.00,923.20,23.30,2.00
3/23/2024,200.00,20.00,3.40,65.00,80.00,924.30,23.70,1.00
4/23/2024,276.00,18.00,3.50,64.00,81.00,923.60,24.10,2.00
5/23/2024,269.00,13.00,2.80,70.00,90.00,925.80,24.60,2.00
6/23/2024,90.00,11.00,2.90,72.00,73.00,924.70,24.10,0.00
7/23/2024,24.00,3.00,2.30,77.00,34.00,925.30,23.70,0.00
8/23/2024,30.00,4.00,2.10,77.00,49.00,926.00,23.90,0.00
9/23/2024,18.00,1.00,2.40,79.00,47.00,925.90,24.70,0.00
10/23/2024,62.00,4.00,2.90,80.00,44.00,926.40,25.50,1.00
11/23/2024,239.00,18.00,4.90,80.00,52.00,924.80,24.80,5.00
12/23/2024,365.00,21.00,5.90,76.00,57.00,924.60,24.60,6.00
